source_id,attack_type,label,ground_truth_bbox,ela_detected,ela_anomaly_score,ela_candidate_bbox,ela_iou,copy_move_detected,copy_move_inliers,copy_move_confidence,copy_move_bbox,copy_move_iou,fused_flagged,verdict_correct
src_0000,none,genuine,,False,0.0,,0.0,False,10,0.0,,0.0,False,True
src_0000,date_edit,tampered,"[228, 269, 312, 285]",True,438.65,"[224, 264, 312, 288]",0.6364,False,13,0.0,,0.0,True,True
src_0000,text_edit,tampered,"[228, 214, 345, 230]",True,193.19,"[241, 216, 313, 232]",0.5,False,10,0.0,,0.0,True,True
src_0000,photo_swap,tampered,"[30, 80, 200, 260]",True,140.98,"[30, 242, 92, 255]",0.0263,False,11,0.0,,0.0,True,True
src_0000,copy_move,tampered,"[117, 319, 267, 469]",True,11577.84,"[112, 313, 272, 479]",0.8471,True,230,0.407,"[626, 324, 763, 463]",0.8464,True,True
src_0001,none,genuine,,True,104.95,"[328, 105, 352, 120]",0.0,False,9,0.0,,0.0,True,False
src_0001,date_edit,tampered,"[448, 269, 532, 285]",True,381.14,"[451, 265, 536, 288]",0.647,False,15,0.0,,0.0,True,True
src_0001,text_edit,tampered,"[228, 214, 345, 230]",True,150.84,"[241, 216, 289, 232]",0.3415,False,10,0.0,,0.0,True,True
src_0001,photo_swap,tampered,"[30, 80, 200, 260]",True,139.0,"[34, 237, 96, 256]",0.0385,False,11,0.0,,0.0,True,True
src_0001,copy_move,tampered,"[81, 321, 231, 471]",True,11663.27,"[80, 320, 232, 480]",0.9252,True,199,0.407,"[92, 326, 217, 461]",0.75,True,True
src_0002,none,genuine,,False,0.0,,0.0,False,13,0.0,,0.0,False,True
src_0002,date_edit,tampered,"[228, 269, 312, 285]",True,423.96,"[225, 265, 312, 288]",0.6717,True,36,0.155,"[230, 253, 634, 422]",0.0192,True,True
src_0002,text_edit,tampered,"[227, 104, 328, 123]",True,256.76,"[254, 105, 328, 128]",0.5819,False,12,0.0,,0.0,True,True
src_0002,photo_swap,tampered,"[30, 80, 200, 260]",True,139.48,"[27, 241, 73, 257]",0.0224,False,12,0.0,,0.0,True,True
src_0002,copy_move,tampered,"[164, 314, 314, 464]",True,11348.57,"[160, 312, 320, 464]",0.9252,True,301,0.411,"[164, 318, 307, 457]",0.8834,True,True
src_0003,none,genuine,,False,0.0,,0.0,False,14,0.0,,0.0,False,True
src_0003,date_edit,tampered,"[448, 269, 532, 285]",True,348.22,"[451, 264, 534, 288]",0.6353,False,14,0.0,,0.0,True,True
src_0003,text_edit,tampered,"[228, 104, 334, 120]",True,250.9,"[233, 104, 336, 126]",0.6888,False,15,0.0,,0.0,True,True
src_0003,photo_swap,tampered,"[30, 80, 200, 260]",True,328.22,"[28, 216, 128, 256]",0.1278,False,15,0.0,,0.0,True,True
src_0003,copy_move,tampered,"[114, 305, 264, 455]",True,11326.7,"[112, 304, 264, 456]",0.9739,True,224,0.386,"[124, 311, 253, 447]",0.7797,True,True
src_0004,none,genuine,,False,0.0,,0.0,False,23,0.0,,0.0,False,True
src_0004,date_edit,tampered,"[448, 269, 532, 285]",True,347.08,"[450, 264, 535, 288]",0.6332,False,17,0.0,,0.0,True,True
src_0004,text_edit,tampered,"[228, 214, 345, 230]",True,100.61,"[241, 216, 266, 232]",0.1821,False,18,0.0,,0.0,True,True
