pair_id,label,is_same_person,subject_doc,subject_live,demographic,model,distance_metric,distance,threshold,similarity_pct,verified,verdict_tier,correct_decision,error
pair_0001_genuine,genuine,True,david,david,male_caucasian,ArcFace,cosine,0.3218,0.68,92.5,True,CONFIRMED_MATCH,True,
pair_0002_genuine,genuine,True,subject_lfw1,subject_lfw1,male_adult,ArcFace,cosine,0.1072,0.68,98.2,True,CONFIRMED_MATCH,True,
pair_0003_genuine,genuine,True,subject_lfw2,subject_lfw2,female_adult,ArcFace,cosine,0.0718,0.68,98.6,True,CONFIRMED_MATCH,True,
pair_0004_genuine,genuine,True,lena,lena,female_adult,ArcFace,cosine,0.1748,0.68,97.2,True,CONFIRMED_MATCH,True,
pair_0005_genuine,genuine,True,messi,messi,male_adult,ArcFace,cosine,0.5438,0.68,72.2,True,CONFIRMED_MATCH,True,
pair_0006_genuine,genuine,True,david,david,male_caucasian,ArcFace,cosine,0.3749,0.68,89.4,True,CONFIRMED_MATCH,True,
pair_0007_genuine,genuine,True,subject_lfw1,subject_lfw1,male_adult,ArcFace,cosine,0.1048,0.68,98.2,True,CONFIRMED_MATCH,True,
pair_0008_genuine,genuine,True,subject_lfw2,subject_lfw2,female_adult,ArcFace,cosine,0.0794,0.68,98.5,True,CONFIRMED_MATCH,True,
pair_0009_genuine,genuine,True,lena,lena,female_adult,ArcFace,cosine,0.1701,0.68,97.3,True,CONFIRMED_MATCH,True,
pair_0010_genuine,genuine,True,messi,messi,male_adult,ArcFace,cosine,0.5247,0.68,74.8,True,CONFIRMED_MATCH,True,
pair_0011_imposter,imposter,False,david,subject_lfw1,male_caucasian_vs_male_adult,ArcFace,cosine,1.071,0.68,6.1,False,CONFIRMED_MISMATCH,True,
pair_0012_imposter,imposter,False,subject_lfw1,subject_lfw2,male_adult_vs_female_adult,ArcFace,cosine,0.8031,0.68,29.7,False,CONFIRMED_MISMATCH,True,
pair_0013_imposter,imposter,False,subject_lfw2,lena,female_adult_vs_female_adult,ArcFace,cosine,0.9349,0.68,14.4,False,CONFIRMED_MISMATCH,True,
pair_0014_imposter,imposter,False,lena,messi,female_adult_vs_male_adult,ArcFace,cosine,0.7494,0.68,38.1,False,BORDERLINE,True,
pair_0015_imposter,imposter,False,messi,david,male_adult_vs_male_caucasian,ArcFace,cosine,0.6493,0.68,55.4,True,BORDERLINE,False,
pair_0016_imposter,imposter,False,david,subject_lfw2,male_caucasian_vs_female_adult,ArcFace,cosine,0.9178,0.68,15.9,False,CONFIRMED_MISMATCH,True,
pair_0017_imposter,imposter,False,subject_lfw1,lena,male_adult_vs_female_adult,ArcFace,cosine,0.9105,0.68,16.6,False,CONFIRMED_MISMATCH,True,
pair_0018_imposter,imposter,False,subject_lfw2,messi,female_adult_vs_male_adult,ArcFace,cosine,0.7997,0.68,30.2,False,CONFIRMED_MISMATCH,True,
pair_0019_imposter,imposter,False,lena,david,female_adult_vs_male_caucasian,ArcFace,cosine,0.9592,0.68,12.4,False,CONFIRMED_MISMATCH,True,
pair_0020_imposter,imposter,False,messi,subject_lfw1,male_adult_vs_male_adult,ArcFace,cosine,1.008,0.68,9.1,False,CONFIRMED_MISMATCH,True,
