doc_id,category,ground_truth_label,semantic_verdict,semantic_valid,font_verdict,font_max_zscore,metadata_verdict,threat_level,is_authentic
src_0000_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.4,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0001_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.87,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0002_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.58,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0003_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.37,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0004_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.28,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0005_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.71,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0006_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.49,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0007_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.55,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0008_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.51,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0009_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.4,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0010_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.74,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0011_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.81,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0012_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.32,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0013_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.28,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0014_genuine,genuine_m1,authentic,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.38,STRIPPED_OR_ABSENT,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
src_0000_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.4,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0001_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.8,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0002_date_edit,tampered_date_edit,tampered,SUSPECT_SEMANTIC_VIOLATION,False,TYPOGRAPHY_CONSISTENT,0.54,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0003_date_edit,tampered_date_edit,tampered,SUSPECT_SEMANTIC_VIOLATION,False,TYPOGRAPHY_CONSISTENT,0.37,STRIPPED_OR_ABSENT,CRITICAL_CONFIRMED_FRAUD,False
src_0004_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.29,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0005_date_edit,tampered_date_edit,tampered,SUSPECT_SEMANTIC_VIOLATION,False,TYPOGRAPHY_CONSISTENT,0.71,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0006_date_edit,tampered_date_edit,tampered,SUSPECT_SEMANTIC_VIOLATION,False,TYPOGRAPHY_CONSISTENT,0.6,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0007_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.45,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0008_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.51,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0009_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.56,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0010_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.74,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0011_date_edit,tampered_date_edit,tampered,SUSPECT_SEMANTIC_VIOLATION,False,TYPOGRAPHY_CONSISTENT,0.65,STRIPPED_OR_ABSENT,CRITICAL_CONFIRMED_FRAUD,False
src_0012_date_edit,tampered_date_edit,tampered,SUSPECT_SEMANTIC_VIOLATION,False,TYPOGRAPHY_CONSISTENT,0.55,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0013_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.3,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0014_date_edit,tampered_date_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.47,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0000_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.4,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0001_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.89,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0002_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.85,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0003_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.47,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0004_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.43,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0005_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.71,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0006_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.5,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0007_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.5,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
