doc_id,category,ground_truth_attack,predicted_attack,attack_confidence,decision,reliability,blur_score,suspicious_regions_count,is_correct_attack,is_false_alarm,card_path
src_0000,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3544.4,1,True,False,C:\Users\AAKASH.S.S\OneDrive\Desktop\ForgeLens-X-M1\reports\visuals\unified\unified_card_src_0000_genuine.png
src_0001,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3615.77,1,True,False,C:\Users\AAKASH.S.S\OneDrive\Desktop\ForgeLens-X-M1\reports\visuals\unified\unified_card_src_0001_genuine.png
src_0002,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3556.51,0,True,False,C:\Users\AAKASH.S.S\OneDrive\Desktop\ForgeLens-X-M1\reports\visuals\unified\unified_card_src_0002_genuine.png
src_0003,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3586.4,0,True,False,C:\Users\AAKASH.S.S\OneDrive\Desktop\ForgeLens-X-M1\reports\visuals\unified\unified_card_src_0003_genuine.png
src_0004,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3596.43,0,True,False,
src_0005,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3525.72,0,True,False,
src_0006,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3550.73,0,True,False,
src_0007,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3657.78,1,True,False,
src_0008,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3579.41,0,True,False,
src_0009,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3581.33,0,True,False,
src_0010,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3489.41,0,True,False,
src_0011,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3578.57,1,True,False,
src_0012,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3526.69,0,True,False,
src_0013,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3562.2,0,True,False,
src_0014,genuine,none,none,0.0,CLEAR_AUTHENTIC,HIGH,3515.28,0,True,False,
src_0000,date_edit,date_edit,date_edit,0.61,SUSPECT_TAMPERING,HIGH,3546.5,1,True,False,
src_0001,date_edit,date_edit,date_edit,0.61,SUSPECT_TAMPERING,HIGH,3602.82,1,True,False,
src_0002,date_edit,date_edit,date_edit,0.95,SUSPECT_TAMPERING,HIGH,3578.48,6,True,False,
src_0003,date_edit,date_edit,date_edit,0.95,SUSPECT_TAMPERING,HIGH,3570.66,7,True,False,
src_0004,date_edit,date_edit,date_edit,0.61,SUSPECT_TAMPERING,HIGH,3592.5,1,True,False,
src_0005,date_edit,date_edit,date_edit,0.95,SUSPECT_TAMPERING,HIGH,3532.14,4,True,False,
src_0006,date_edit,date_edit,date_edit,0.95,SUSPECT_TAMPERING,HIGH,3534.98,4,True,False,
src_0007,date_edit,date_edit,none,0.0,CLEAR_AUTHENTIC,HIGH,3659.92,1,False,False,
src_0008,date_edit,date_edit,date_edit,0.47,SUSPECT_TAMPERING,HIGH,3571.73,1,True,False,
src_0009,date_edit,date_edit,date_edit,0.61,SUSPECT_TAMPERING,HIGH,3578.65,1,True,False,
src_0010,date_edit,date_edit,date_edit,0.5,SUSPECT_TAMPERING,HIGH,3492.61,1,True,False,
src_0011,date_edit,date_edit,date_edit,0.95,SUSPECT_TAMPERING,HIGH,3588.19,7,True,False,
src_0012,date_edit,date_edit,date_edit,0.95,SUSPECT_TAMPERING,HIGH,3535.54,4,True,False,
src_0013,date_edit,date_edit,date_edit,0.47,SUSPECT_TAMPERING,HIGH,3553.61,1,True,False,
src_0014,date_edit,date_edit,date_edit,0.5,SUSPECT_TAMPERING,HIGH,3515.57,1,True,False,
